c214208a2664b2d9766a35144f618d196f509bb2
MLB,5/8/09, 545, chicago white sox, 2.9933365161097, 6, los angeles angels, 4.59301989738601, 2, -139, 119, 0.300798022732749, 9.5, -125, 105, 0.159969768999148, -1.5, 150, 0.133536817353733, 1.5, -170, 0.706814201468375
MLB,5/8/09, 545, cincinnati reds, 2.22550075995079, 4, chicago cubs, 4.10760692341256, 0, 165, -185, 0.23210478101945, 8.5, -110, -110, 0.162262402879565, 1.5, 105, 0.382344294128056, -1.5, -125, 0.461088737958545
MLB,5/8/09, 545, cleveland indians, 3.91920327758999, 8, minnesota twins, 4.55633617795048, 1, -110, -110, 0.440563006153083, 9.5, 105, -125, 0.236566413843584, 1.5, -160, 0.526650856030629, -1.5, 140, 0.306775946543438
MLB,5/8/09, 545, detroit tigers, 3.16639021242238, 4, baltimore orioles, 3.79638440896175, 2, -180, 160, 0.426936635844956, 9.0, -110, -110, 0.129954143429225, -1.5, 105, 0.201117117384591, 1.5, -125, 0.620462107940423
MLB,5/8/09, 545, houston astros, 2.44575713175197, 6, san francisco giants, 3.90066030823013, 10, -144, 124, 0.291224342244769, 9.0, -125, 105, 0.0841517248807361, -1.5, 140, 0.120697142016875, 1.5, -160, 0.710382028763263
MLB,5/8/09, 545, kansas city royals, 2.11841651488412, 6, seattle mariners, 3.41741593616707, 11, -115, -105, 0.291444104094146, 9.5, 102, -120, 0.0401825399426894, 1.5, -165, 0.436174368759898, -1.5, 145, 0.386599479045989
MLB,5/8/09, 545, los angeles dodgers, 4.59327988580279, 1, milwaukee brewers, 3.82380851133707, 4, -142, 122, 0.627197260345345, 9.5, -115, -105, 0.22903086535761, -1.5, 140, 0.358145467914479, 1.5, -160, 0.479227351491465
MLB,5/8/09, 545, new york mets, 2.60006706557813, 9, st. louis cardinals, 3.13599620726712, 0, 115, -135, 0.425101477552123, 9.0, -105, -115, 0.0521182799893234, 1.5, -135, 0.527135780459304, -1.5, 115, 0.28245971732465
MLB,5/8/09, 545, oakland athletics, 2.99255047439006, 7, texas rangers, 3.62364555956773, 5, 115, -135, 0.422219016144412, 8.5, -110, -110, 0.198658758086033, 1.5, -140, 0.521231189671404, -1.5, 120, 0.297436595906028
MLB,5/8/09, 545, philadelphia phillies, 2.83624149432712, 7, colorado rockies, 4.13677541470826, 0, -145, 125, 0.328401139165233, 9.0, -115, -105, 0.129797100937744, -1.5, 140, 0.144547414444104, 1.5, -160, 0.686442341929987
MLB,5/8/09, 545, pittsburgh pirates, 2.77769917068306, 3, arizona diamondbacks, 4.5447428212962, 4, -105, -115, 0.273595989622033, 8.0, 102, -120, 0.302815911377327, 1.5, -165, 0.407786480263229, -1.5, 145, 0.43521378558935
MLB,5/8/09, 545, san diego padres, 2.52795231977663, 2, atlanta braves, 4.15004325461882, 6, 136, -156, 0.276675972607068, 7.0, 105, -125, 0.387245360288282, 1.5, -125, 0.41539975355398, -1.5, 105, 0.421411099966786
MLB,5/8/09, 545, tampa bay devil rays, 2.7716746356307, 6, boston red sox, 4.14727130867403, 4, -143, 123, 0.316656825703684, 9.5, -115, -105, 0.110979045366428, -1.5, 140, 0.137838820403012, 1.5, -160, 0.694351481191692
MLB,5/8/09, 545, toronto blue jays, 3.05183887780952, 4, new york yankees, 3.65751716767814, 8, -113, -107, 0.427451686567022, 9.5, -105, -115, 0.0982467407378242, 1.5, -165, 0.524388103906123, -1.5, 145, 0.294854789358353
MLB,5/8/09, 545, washington nationals, 2.98942794548979, 5, florida marlins, 4.38784938256217, 4, -105, -115, 0.323033111387096, 8.5, 102, -120, 0.27426228261144, 1.5, -160, 0.445977373989509, -1.5, 140, 0.389289692952304
MLB,6/8/09, 546, chicago white sox, 3.03950168484507, -1, los angeles angels, 4.46862282837507, -1, -142, 122, 0.321508974873275, 9.5, -125, 105, 0.154004871103977, -1.5, 135, 0.144343145141941, 1.5, -155, 0.692223510051034
